edad,fecha_nacimiento,jugador
41 años,1 de enero de 1981,mladen petric
33 años,20 de octubre de 1989,dennis diekmeier
39 años,14 de agosto de 1983,heiko westermann
33 años,27 de abril de 1989,sven bender
30 años,20 de enero de 1992,gokhan tore
38 años,1 de enero de 1984,jose paolo guerrero
37 años,3 de junio de 1985,lukasz piszczek
33 años,16 de abril de 1989,chris lowe
35 años,26 de enero de 1987,gojko kacar
33 años,17 de marzo de 1989,shinji kagawa
34 años,19 de julio de 1988,kevin grosskreutz
33 años,16 de diciembre de 1988,mats hummels
34 años,13 de enero de 1988,tomas rincon
32 años,24 de octubre de 1990,ilkay gundogan
30 años,3 de junio de 1992,mario gotze
42 años,6 de agosto de 1980,roman weidenfeller
34 años,21 de agosto de 1988,robert lewandowski
36 años,17 de marzo de 1986,felipe santana
34 años,8 de enero de 1988,michael mancienne
37 años,4 de noviembre de 1985,marcell jansen
34 años,18 de julio de 1988,anis benhatira
35 años,27 de mayo de 1987,robert tesche
33 años,2 de febrero de 1989,ivan perisic
35 años,14 de enero de 1987,dennis aogo
37 años,20 de marzo de 1985,sascha molders
42 años,28 de julio de 1980,heiko butscher
42 años,20 de diciembre de 1979,jonas de roeck
38 años,28 de marzo de 1984,mensur mujdza
36 años,4 de septiembre de 1986,lorenzo davids
41 años,1 de enero de 1981,yacine abdessadki
36 años,15 de octubre de 1986,marcel de jong
37 años,19 de julio de 1985,tobias werner
37 años,15 de abril de 1985,julian schuster
38 años,23 de febrero de 1984,cedric makiadi
43 años,6 de octubre de 1979,oliver barth
43 años,3 de diciembre de 1979,uwe mohrle
34 años,15 de enero de 1988,daniel caligiuri
38 años,18 de mayo de 1984,daniel baier
38 años,23 de septiembre de 1984,janingwer callsenbracker
34 años,14 de diciembre de 1987,johannes flum
40 años,6 de mayo de 1982,marcel ndjeng
37 años,3 de junio de 1985,papiss demba cisse
39 años,17 de mayo de 1983,axel bellinghausen
30 años,18 de enero de 1992,akaki gogia
34 años,9 de mayo de 1988,felix bastians
35 años,10 de junio de 1987,anton putsila
36 años,21 de febrero de 1986,garra dembele
34 años,27 de septiembre de 1988,stephan hain
38 años,29 de septiembre de 1984,per mertesacker
32 años,24 de junio de 1990,richard sukutapasu
42 años,7 de diciembre de 1980,clemens fritz
NA,NA,florian dick
30 años,25 de febrero de 1992,lennart thy
34 años,9 de junio de 1988,sokratis
33 años,3 de marzo de 1989,philipp bargfrede
36 años,14 de noviembre de 1986,ivo ilicevic
36 años,11 de junio de 1986,leon jessen
33 años,13 de marzo de 1989,marko marin
